,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
0,1,James Bailey,"Oct 14, '79, SEA @ SDC",22,1,67,726,122,271,0,0,68,101,71,197,28,21,54,79,116,312,0.45,,0.673,10.8,4.7,2.9,0.4,1980
1,2,Billy Ray Bates,"Feb 23, '80, POR @ DET",23,1,16,235,72,146,8,19,28,39,13,29,31,14,2,20,26,180,0.493,0.421,0.718,14.7,11.3,1.8,1.9,1980
2,3,Larry Bird*,"Oct 12, '79, BOS vs. HOU",23,1,82,2955,693,1463,58,143,301,360,216,852,370,143,53,263,279,1745,0.474,0.406,0.836,36.0,21.3,10.4,4.5,1980
3,4,Lawrence Boston,"Mar 2, '80, WSB vs. IND",23,1,13,125,24,52,0,0,8,13,19,39,2,4,2,8,25,56,0.462,,0.615,9.6,4.3,3.0,0.2,1980
4,5,Dudley Bradley,"Oct 12, '79, IND @ DET",22,1,82,2027,275,609,2,5,136,174,69,223,252,211,48,166,194,688,0.452,0.4,0.782,24.7,8.4,2.7,3.1,1980
5,6,Bill Cartwright,"Oct 12, '79, NYK @ ATL",22,1,82,3150,665,1215,0,0,451,566,194,726,165,48,101,222,279,1781,0.547,,0.797,38.4,21.7,8.9,2.0,1980
6,7,Jeff Cook,"Oct 12, '79, PHO vs. GSW",23,1,66,904,129,275,0,3,104,129,90,241,84,28,18,71,102,362,0.469,0.0,0.806,13.7,5.5,3.7,1.3,1980
7,8,Hollis Copeland,"Oct 12, '79, NYK @ ATL",24,1,75,1142,182,368,0,2,63,86,70,156,80,61,25,84,154,427,0.495,0.0,0.733,15.2,5.7,2.1,1.1,1980
8,9,John Coughran,"Oct 12, '79, GSW @ PHO",28,1,24,160,29,81,2,9,8,14,2,19,12,7,1,13,24,68,0.358,0.222,0.571,6.7,2.8,0.8,0.5,1980
9,10,Terry Crosby,"Nov 13, '79, KCK vs. PHI",23,1,4,28,2,4,0,0,2,2,0,1,7,0,0,5,4,6,0.5,,1.0,7.0,1.5,0.3,1.8,1980
10,11,Pat Cummings,"Oct 13, '79, MIL @ DEN",23,1,71,900,187,370,0,0,94,123,81,238,53,22,17,74,141,468,0.505,,0.764,12.7,6.6,3.4,0.7,1980
11,12,Paul Dawkins,"Oct 12, '79, UTA @ POR",22,1,57,776,141,300,1,5,33,48,42,125,77,33,9,76,112,316,0.47,0.2,0.688,13.6,5.5,2.2,1.4,1980
12,13,Greg Deane,"Oct 12, '79, UTA @ POR",22,1,7,48,2,11,1,1,5,7,2,6,6,0,0,3,3,10,0.182,1.0,0.714,6.9,1.4,0.9,0.9,1980
13,14,Larry Demic,"Oct 12, '79, NYK @ ATL",22,1,82,1872,230,528,0,0,110,183,195,483,64,56,30,168,306,570,0.436,,0.601,22.8,7.0,5.9,0.8,1980
14,15,Terry Duerod,"Oct 12, '79, DET vs. IND",23,1,67,1331,282,598,15,53,45,66,29,98,117,41,11,79,102,624,0.472,0.283,0.682,19.9,9.3,1.5,1.7,1980
