Rk,Player,Debut,Age,Yrs,G,FG%,3P%,FT%,MP,PTS,TRB,AST,Pts Won
1,Precious Achiuwa,"Dec 23, '20, MIA @ ORL",21,3,189,0.474,0.321,0.605,19.1,7.8,5.3,0.9,0
2,Ty-Shon Alexander,"Dec 27, '20, PHO @ SAC",22,1,15,0.25,0.222,0.5,3.1,0.6,0.7,0.4,0
3,Cole Anthony,"Dec 23, '20, ORL vs. MIA",20,3,172,0.411,0.345,0.861,28.4,14.2,5,4.6,0
4,Deni Avdija,"Dec 23, '20, WAS @ PHI",20,3,212,0.431,0.31,0.734,24.8,8.1,5.5,2.1,0
5,Udoka Azubuike,"Dec 23, '20, UTA @ POR",21,3,68,0.769,,0.512,9,3.3,3,0.2,0
6,LaMelo Ball,"Dec 23, '20, CHO @ CLE",19,3,162,0.426,0.377,0.828,31.8,19.4,6.4,7.3,465
7,Desmond Bane,"Dec 23, '20, MEM vs. SAS",22,3,202,0.469,0.425,0.883,27.9,16.1,4.1,2.9,0
8,Saddiq Bey,"Dec 26, '20, DET vs. CLE",21,3,229,0.406,0.361,0.844,29.4,14.1,4.9,1.9,3
9,Tyler Bey,"Jan 13, '21, DAL @ CHO",22,1,18,0.318,0.25,0.6,3.9,1,1.1,0.2,0
10,Keljin Blevins,"Dec 23, '20, POR vs. UTA",25,2,48,0.298,0.288,0.545,8.8,2.2,1.1,0.5,0
11,Amida Brimah,"Apr 25, '21, IND @ ORL",26,1,5,0.625,,1,5.8,2.6,1.6,0.2,0
12,Armoni Brooks,"Apr 9, '21, HOU @ LAC",22,2,74,0.366,0.33,0.758,18.4,6.9,2.3,1.2,0
13,Elijah Bryant,"May 16, '21, MIL @ CHI",25,1,1,0.462,0.2,1,32,16,6,3,0
14,Facundo Campazzo,"Dec 23, '20, DEN vs. SAC",29,3,138,0.369,0.326,0.825,19.3,5.3,1.8,3.3,0
15,Devin Cannady,"Apr 7, '21, ORL vs. WAS",24,2,13,0.361,0.396,0.786,16.8,6.5,0.8,0.8,0
16,Vernon Carey Jr.,"Dec 30, '20, CHO @ DAL",19,3,37,0.474,0.143,0.654,5.1,1.9,1.4,0.1,0
17,Nate Darling,"Mar 13, '21, CHO vs. TOR",22,1,7,0.286,0.286,1,3.7,1.3,0.1,0.1,0
